player_id,player_name,team,position,position_group,season_prior,season_next,opportunities_prior,actual_td_prior,xtd_prior,regression_signal_efficiency,prior_group_share,team_group_xtd_pool_prior,vacated_opportunity_share_gained,stolen_opportunity_share_lost,net_opportunity_share_change,regression_signal_opportunity,combined_signal,projected_td_next_season,regression_label,vegas_player_name,vegas_market,vegas_td_line,vegas_diff
00-0033280,Christian McCaffrey,SF,RB,RB,2025,2026,440,17,23.114808627693463,6.1148086276934634,0.7930457678818922,29.146878482725775,0.10057792648910445,0.0,0.10057792648910445,2.9315326014224534,9.046341229115917,26.046341229115917,Strong Positive (Buy),Christian McCaffrey,rush_rec,12.5,13.546341229115917
00-0036997,Javonte Williams,DAL,RB,RB,2025,2026,303,13,16.81274073148232,3.8127407314823216,0.7356555987053525,22.854091997764055,0.03549059850603519,0.0,0.03549059850603519,0.8111054033126358,4.623846134794958,17.623846134794956,Strong Positive (Buy),Javonte Williams,rush_rec,10.5,7.123846134794956
00-0036555,Chuba Hubbard,CAR,RB,RB,2025,2026,173,4,5.408446197850136,1.408446197850136,0.38014016643670934,14.227505208267972,0.45450451496811173,0.02433689243028062,0.4301676225378311,6.120212090085243,7.528658287935379,11.528658287935379,Strong Positive (Buy),Chuba Hubbard,rush_only,4.5,7.028658287935379
00-0036223,Jonathan Taylor,IND,RB,RB,2025,2026,378,20,17.287165706719804,-2.7128342932801957,0.8464169725128117,20.423935563813544,0.08461765773785361,0.0,0.08461765773785361,1.7282255891987506,-0.9846087040814451,19.015391295918555,Negative,Jonathan Taylor,rush_rec,13.5,5.515391295918555
00-0032764,Derrick Henry,BAL,RB,RB,2025,2026,328,16,17.212467691687117,1.2124676916871167,0.8482134761440152,20.29261285724335,0.0660135802995645,0.0,0.0660135802995645,1.3395880283396089,2.5520557200267255,18.552055720026726,Positive,Derrick Henry,rush_rec,13.5,5.0520557200267255
00-0039067,Rashee Rice,KC,WR,WR,2025,2026,83,6,8.082534707048348,2.0825347070483478,0.419298340798822,19.276333628342027,0.21778421493013148,0.0,0.21778421493013148,4.198081185979761,6.280615893028108,12.28061589302811,Strong Positive (Buy),Rashee Rice,rec_only,7.5,4.780615893028109
00-0034753,Mark Andrews,BAL,TE,TE,2025,2026,80,6,7.3340895053983,1.3340895053982997,0.7050191648024398,10.402681049746294,0.2949808351975602,0.021440806530061196,0.273540028667499,2.8455496725664498,4.1796391779647495,10.179639177964749,Strong Positive (Buy),Mark Andrews,rec_only,5.5,4.679639177964749
00-0037744,Trey McBride,ARI,TE,TE,2025,2026,169,11,10.332806626453314,-0.6671933735466862,0.7835267939387415,13.187560025242945,0.06221361879658628,0.0,0.06221361879658628,0.8204458322675643,0.15325245872087812,11.153252458720878,Neutral,Trey McBride,rec_only,6.5,4.653252458720878
00-0038542,Bijan Robinson,ATL,RB,RB,2025,2026,390,11,11.233385617405377,0.23338561740537678,0.605740431538759,18.544883307309156,0.39136618377890986,0.13756915252120547,0.25379703125770436,4.706636328415621,4.940021945820998,15.940021945820998,Strong Positive (Buy),Bijan Robinson,rush_rec,11.5,4.440021945820998
00-0040784,Quinshon Judkins,CLE,RB,RB,2025,2026,266,7,8.186555747170134,1.186555747170134,0.4960740362740505,16.502689414383227,0.12369273897440435,0.0,0.12369273897440435,2.0412628541089703,3.2278186012791044,10.227818601279104,Positive,Quinshon Judkins,rush_only,6.0,4.227818601279104
